distrito_id,seccion_id,in1_prov,in1_dpto
1,1,02,02007
1,2,02,02014
1,3,02,02021
1,4,02,02028
1,5,02,02035
1,6,02,02042
1,7,02,02049
1,8,02,02056
1,9,02,02063
1,10,02,02070
1,11,02,02077
1,12,02,02084
1,13,02,02091
1,14,02,02098
1,15,02,02105
2,1,06,06007
2,2,06,06021
2,3,06,06028
2,4,06,06035
2,5,06,06042
2,6,06,06049
2,7,06,06056
2,8,06,06063
2,9,06,06070
2,10,06,06077
2,11,06,06091
2,12,06,06098
2,13,06,06105
2,14,06,06112
2,15,06,06119
2,16,06,06126
2,17,06,06134
2,18,06,06140
2,19,06,06147
2,20,06,06154
2,21,06,06161
2,22,06,06602
2,23,06,06168
2,24,06,06175
2,25,06,06189
2,26,06,06196
2,27,06,06182
2,28,06,06203
2,29,06,06210
2,30,06,06218
2,31,06,06224
2,32,06,06231
2,33,06,06238
2,34,06,06245
2,35,06,06252
2,36,06,06260
2,37,06,06266
2,38,06,06274
2,39,06,06280
2,40,06,06287
2,41,06,06294
2,42,06,06301
2,43,06,06308
2,44,06,06322
2,45,06,06329
2,46,06,06336
2,47,06,06315
2,48,06,06343
2,49,06,06351
2,50,06,06357
2,51,06,06364
2,52,06,06371
2,53,06,06760
2,54,06,06385
2,55,06,06392
2,56,06,06014
2,57,06,06399
2,58,06,06406
2,59,06,06084
2,60,06,06413
2,61,06,06427
2,62,06,06434
2,63,06,06441
2,64,06,06448
2,65,06,06455
2,66,06,06462
2,67,06,06469
2,68,06,06476
2,69,06,06483
2,70,06,06490
2,71,06,06497
2,72,06,06505
2,73,06,06511
2,74,06,06518
2,75,06,06525
2,76,06,06532
2,77,06,06539
2,78,06,06547
2,79,06,06560
2,80,06,06568
2,81,06,06574
2,82,06,06581
2,83,06,06588
2,84,06,06595
2,85,06,06609
2,86,06,06616
2,87,06,06623
2,88,06,06630
2,89,06,06638
2,90,06,06644
2,91,06,06651
2,92,06,06658
2,93,06,06665
2,94,06,06672
2,95,06,06679
2,96,06,06686
2,97,06,06693
2,98,06,06700
2,99,06,06707
2,100,06,06721
2,101,06,06714
2,102,06,06728
2,103,06,06735
2,104,06,06742
2,105,06,06749
2,106,06,06756
2,107,06,06763
2,108,06,06770
2,109,06,06778
2,110,06,06784
2,111,06,06791
2,112,06,06798
2,113,06,06805
2,114,06,06819
2,115,06,06826
2,116,06,06812
2,117,06,06833
2,118,06,06840
2,119,06,06420
2,120,06,06553
2,121,06,06854
2,122,06,06861
2,123,06,06868
2,124,06,06875
2,125,06,06882
2,126,06,06847
2,127,06,06277
2,128,06,06648
2,129,06,06412
2,130,06,06515
2,131,06,06655
2,132,06,06270
2,133,06,06410
2,134,06,06408
2,135,06,06466
3,1,10,10049
3,2,10,10042
3,3,10,10070
3,4,10,10014
3,5,10,10056
3,6,10,10098
3,7,10,10077
3,8,10,10112
3,9,10,10063
3,10,10,10007
3,11,10,10084
3,12,10,10021
3,13,10,10035
3,14,10,10028
3,15,10,10105
3,16,10,10091
4,1,14,14014
4,2,14,14007
4,3,14,14021
4,4,14,14028
4,5,14,14035
4,6,14,14042
4,7,14,14049
4,8,14,14056
4,9,14,14063
4,10,14,14070
4,11,14,14077
4,12,14,14091
4,13,14,14098
4,14,14,14105
4,15,14,14112
4,16,14,14119
4,17,14,14084
4,18,14,14126
4,19,14,14133
4,20,14,14140
4,21,14,14147
4,22,14,14154
4,23,14,14161
4,24,14,14168
4,25,14,14175
4,26,14,14182
5,1,18,18021
5,2,18,18070
5,3,18,18035
5,4,18,18105
5,5,18,18049
5,6,18,18091
5,7,18,18168
5,8,18,18119
5,9,18,18112
5,10,18,18140
5,11,18,18007
5,12,18,18042
5,13,18,18161
5,14,18,18063
5,15,18,18126
5,16,18,18147
5,17,18,18028
5,18,18,18098
5,19,18,18084
5,20,18,18175
5,21,18,18133
5,22,18,18056
5,23,18,18154
5,24,18,18077
5,25,18,18014
6,1,22,22140
6,2,22,22126
6,3,22,22077
6,4,22,22056
6,5,22,22154
6,6,22,22119
6,7,22,22014
6,8,22,22084
6,9,22,22161
6,10,22,22147
6,11,22,22098
6,12,22,22112
6,13,22,22021
6,14,22,22133
6,15,22,22168
6,16,22,22091
6,17,22,22070
6,18,22,22049
6,19,22,22105
6,20,22,22028
6,21,22,22036
6,22,22,22039
6,23,22,22043
6,24,22,22007
6,25,22,22063
7,1,26,26077
7,2,26,26007
7,3,26,26105
7,4,26,26049
7,5,26,26014
7,6,26,26035
7,7,26,26056
7,8,26,26098
7,9,26,26070
7,10,26,26063
7,11,26,26028
7,12,26,26042
7,13,26,26084
7,14,26,26091
7,15,26,26021
8,1,30,30084
8,2,30,30084
8,3,30,30070
8,4,30,30021
8,5,30,30105
8,6,30,30077
8,7,30,30049
8,8,30,30091
8,9,30,30098
8,10,30,30056
8,11,30,30063
8,12,30,30113
8,13,30,30015
8,14,30,30035
8,15,30,30008
8,16,30,30042
8,17,30,30028
8,18,30,30088
9,1,34,34014
9,2,34,34021
9,3,34,34049
9,4,34,34056
9,5,34,34042
9,6,34,34035
9,7,34,34007
9,8,34,34028
9,9,34,34063
10,1,38,38021
10,2,38,38042
10,3,38,38056
10,4,38,38014
10,5,38,38063
10,6,38,38070
10,7,38,38035
10,8,38,38105
10,9,38,38098
10,10,38,38094
10,11,38,38028
10,12,38,38007
10,13,38,38049
10,14,38,38077
10,15,38,38112
10,16,38,38084
11,1,42,42007
11,2,42,42021
11,3,42,42014
11,4,42,42028
11,5,42,42049
11,6,42,42056
11,7,42,42063
11,8,42,42035
11,9,42,42042
11,10,42,42070
11,11,42,42077
11,12,42,42098
11,13,42,42084
11,14,42,42091
11,15,42,42105
11,16,42,42112
11,17,42,42119
11,18,42,42126
11,19,42,42133
11,20,42,42140
11,21,42,42147
11,22,42,42154
12,1,46,46014
12,2,46,46126
12,3,46,46021
12,4,46,46007
12,5,46,46119
12,6,46,46042
12,7,46,46049
12,8,46,46028
12,9,46,46077
12,10,46,46098
12,11,46,46105
12,12,46,46035
12,13,46,46056
12,14,46,46063
12,15,46,46070
12,16,46,46084
12,17,46,46112
12,18,46,46091
13,1,50,50007
13,2,50,50021
13,3,50,50028
13,4,50,50049
13,5,50,50056
13,6,50,50070
13,7,50,50063
13,8,50,50126
13,9,50,50098
13,10,50,50035
13,11,50,50084
13,12,50,50119
13,13,50,50091
13,14,50,50112
13,15,50,50042
13,16,50,50105
13,17,50,50077
13,18,50,50014
14,1,54,54028
14,2,54,54007
14,3,54,54021
14,4,54,54070
14,5,54,54035
14,6,54,54105
14,7,54,54098
14,8,54,54091
14,9,54,54077
14,10,54,54014
14,11,54,54119
14,12,54,54084
14,13,54,54056
14,14,54,54042
14,15,54,54112
14,16,54,54063
14,17,54,54049
15,1,58,58035
15,2,58,58112
15,3,58,58014
15,4,58,58091
15,5,58,58035
15,6,58,58077
15,7,58,58084
15,8,58,58063
15,9,58,58035
15,10,58,58035
15,11,58,58021
15,12,58,58098
15,13,58,58028
15,14,58,58049
15,15,58,58035
15,16,58,58070
16,1,62,62007
16,2,62,62028
16,3,62,62077
16,4,62,62084
16,5,62,62049
16,6,62,62091
16,7,62,62056
16,8,62,62070
16,9,62,62021
16,10,62,62063
16,11,62,62014
16,12,62,62042
16,13,62,62035
17,1,66,66028
17,2,66,66077
17,3,66,66049
17,4,66,66112
17,5,66,66007
17,6,66,66133
17,7,66,66126
17,8,66,66056
17,9,66,66070
17,10,66,66161
17,11,66,66035
17,12,66,66042
17,13,66,66098
17,14,66,66063
17,15,66,66140
17,16,66,66084
17,17,66,66021
17,18,66,66154
17,19,66,66119
17,20,66,66014
17,21,66,66147
17,22,66,66091
17,23,66,66105
18,1,70,70028
18,2,70,70098
18,3,70,70042
18,4,70,70084
18,5,70,70133
18,6,70,70077
18,7,70,70063
18,8,70,70091
18,9,70,70014
18,10,70,70007
18,11,70,70112
18,12,70,70070
18,13,70,70105
18,14,70,70126
18,15,70,70035
18,16,70,70119
18,17,70,70056
18,18,70,70049
18,19,70,70021
19,1,74,74056
19,2,74,74021
19,3,74,74035
19,4,74,74028
19,5,74,74063
19,6,74,74049
19,7,74,74007
19,8,74,74014
19,9,74,74042
20,1,78,78014
20,2,78,78035
20,3,78,78042
20,4,78,78049
20,5,78,78007
20,6,78,78028
20,7,78,78021
21,1,82,82007
21,2,82,82014
21,3,82,82021
21,4,82,82028
21,5,82,82035
21,6,82,82042
21,7,82,82049
21,8,82,82056
21,9,82,82063
21,10,82,82063
21,11,82,82070
21,12,82,82077
21,13,82,82084
21,14,82,82084
21,15,82,82084
21,16,82,82091
21,17,82,82098
21,18,82,82105
21,19,82,82112
21,20,82,82119
21,21,82,82126
21,22,82,82133
22,1,86,86049
22,2,86,86028
22,3,86,86007
22,4,86,86014
22,5,86,86021
22,6,86,86035
22,7,86,86042
22,8,86,86056
22,9,86,86063
22,10,86,86070
22,11,86,86084
22,12,86,86091
22,13,86,86105
22,14,86,86098
22,15,86,86112
22,16,86,86119
22,17,86,86126
22,18,86,86133
22,19,86,86140
22,20,86,86154
22,21,86,86161
22,22,86,86147
22,23,86,86189
22,24,86,86175
22,25,86,86168
22,26,86,86182
22,27,86,86077
23,1,90,90084
23,2,90,90063
23,3,90,90028
23,4,90,90070
23,5,90,90021
23,6,90,90077
23,7,90,90042
23,8,90,90049
23,9,90,90035
23,10,90,90091
23,11,90,90056
23,12,90,90014
23,13,90,90007
23,14,90,90112
23,15,90,90119
23,16,90,90105
23,17,90,90098
24,1,94,94015
24,2,94,94008
24,5,94,94011
